time_step,bearing_temp,engine_speed,engine_load,lub_oil_inlet_temp,lub_oil_pressure,axial_vibration,engine_st_aft_brg_temp1,engine_intermed_shaft_brg_temp,cooling_water_temp,engine_air_temp,status,draft_fore,draft_aft,vs,relative_wind_speed,energy_efficiency_index,rudder_angle,depth
0.000494,0.729404,0.919374,0.600624,0.728954,0.945154,0.833700,0.767549,0.771695,0.874854,0.836809,0.999444,0.011935,0.049713,0.931666,0.275887,0.869963,0.514262,0.188670
0.000506,0.728964,0.916029,0.590022,0.730149,0.944717,0.836247,0.768994,0.777872,0.876592,0.836767,0.999751,0.010583,0.051597,0.929043,0.261417,0.868929,0.505690,0.192035
0.000518,0.730571,0.917121,0.588478,0.728146,0.943253,0.832663,0.767065,0.776737,0.866566,0.837791,1.000000,0.011800,0.054498,0.931504,0.264273,0.870573,0.527522,0.195820
0.000530,0.727850,0.916932,0.598872,0.729566,0.946120,0.834395,0.767780,0.779546,0.862293,0.840621,0.998671,0.011438,0.047345,0.929690,0.277024,0.869689,0.534308,0.197451
0.000541,0.728306,0.916011,0.600747,0.729114,0.945016,0.838782,0.769909,0.781274,0.859871,0.839836,1.000000,0.011411,0.050925,0.927129,0.279639,0.870303,0.519266,0.202658
0.000553,0.729295,0.917770,0.598309,0.729507,0.945659,0.831695,0.772858,0.781883,0.856477,0.842508,0.999225,0.009797,0.048562,0.925777,0.273996,0.871871,0.505542,0.207288
0.000565,0.729068,0.917909,0.600462,0.729183,0.944617,0.835130,0.771107,0.782183,0.866242,0.844015,1.000000,0.011359,0.047064,0.925070,0.288660,0.870517,0.502900,0.208068
0.000577,0.729562,0.915440,0.594916,0.730325,0.943365,0.830903,0.773389,0.782575,0.868667,0.844024,1.000000,0.011733,0.050814,0.925142,0.278587,0.870993,0.501536,0.214308
0.000589,0.728032,0.916050,0.594611,0.730105,0.944934,0.831735,0.774617,0.781737,0.872770,0.842357,0.998833,0.010205,0.052702,0.923711,0.299070,0.871703,0.504304,0.218157
0.000600,0.728111,0.916848,0.594472,0.734238,0.945544,0.830216,0.772894,0.782246,0.879762,0.847185,1.000000,0.011490,0.051471,0.926597,0.309999,0.872226,0.506719,0.222094
0.000612,0.730101,0.916438,0.593513,0.733550,0.944619,0.832001,0.771906,0.782334,0.879788,0.844096,0.998509,0.010808,0.049657,0.924801,0.318388,0.870564,0.511990,0.223643
