step,Df,Da,EeIndex8,Rudder,TrueVwr,Me1Sw_com_temp,Me1Nms,Me1Load,Me1Main_brg_lo_in_press,Me1Axial_vib,Me1Main_brg_lo_in_temp,Me1Thrust_bearing_pad_temp
96,0.197211,0.878505,0.830907,0.496264,0.102803,0.706357,0.828682,0.472370,0.344828,0.847233,0.132774,0.443662
97,0.202191,0.871384,0.829470,0.488375,0.088665,0.706357,0.829819,0.478630,0.344828,0.849571,0.129116,0.449789
98,0.202191,0.870494,0.826760,0.517838,0.093257,0.706357,0.830957,0.496546,0.344828,0.851130,0.129116,0.450704
99,0.185259,0.853583,0.825157,0.467116,0.094435,0.706357,0.831952,0.486833,0.344828,0.852689,0.138799,0.456127
100,0.147410,0.878950,0.824100,0.502062,0.099571,0.706357,0.831284,0.451288,0.344828,0.844895,0.150635,0.457746
101,0.129980,0.888741,0.824893,0.502162,0.106006,0.720484,0.831383,0.443589,0.344828,0.833983,0.150635,0.464085
102,0.145418,0.896751,0.825884,0.506499,0.094617,0.708712,0.831810,0.447978,0.344828,0.830865,0.150635,0.464789
103,0.149900,0.910547,0.826694,0.512297,0.091747,0.706357,0.831668,0.446539,0.344828,0.839439,0.150635,0.464789
104,0.145916,0.890076,0.827388,0.534129,0.091686,0.722839,0.830644,0.463304,0.344828,0.835542,0.150635,0.464789
105,0.173307,0.901202,0.828462,0.542461,0.109057,0.707030,0.830957,0.463016,0.344828,0.848792,0.150635,0.464789
106,0.198207,0.920783,0.829833,0.499485,0.143043,0.706357,0.830957,0.493668,0.344828,0.851910,0.150635,0.464789
107,0.193725,0.942145,0.829817,0.512798,0.232191,0.706357,0.831952,0.483019,0.344828,0.848012,0.150635,0.467746
108,0.170817,0.919893,0.829057,0.532583,0.680563,0.706357,0.831142,0.470643,0.344828,0.844895,0.150635,0.471831
109,0.166833,0.887405,0.830164,0.505082,0.542747,0.706357,0.831099,0.465463,0.344828,0.847233,0.150635,0.475845
110,0.192231,0.899421,0.832246,0.514889,0.754124,0.706357,0.831852,0.487883,0.344828,0.845674,0.150635,0.478873
111,0.204681,0.915443,0.834129,0.524309,0.778563,0.706357,0.831383,0.488272,0.344828,0.853468,0.150635,0.478873
112,0.217629,0.925679,0.835930,0.506757,0.778140,0.706357,0.832378,0.496129,0.344828,0.854248,0.150635,0.483380
113,0.214641,0.921673,0.836393,0.497853,0.827412,0.706357,0.826265,0.478515,0.344828,0.854248,0.150635,0.485915
114,0.208665,0.904317,0.777506,0.532698,0.914869,0.706357,0.651677,0.144438,0.344828,0.718628,0.150635,0.490493
115,0.224104,0.884735,0.825273,0.523278,0.915685,0.706357,0.769069,0.345445,0.241379,0.815277,0.150635,0.486408
116,0.220120,0.869604,0.840143,0.460517,0.975107,0.706357,0.801982,0.429055,0.206897,0.815277,0.150635,0.473803
117,0.224104,0.867379,0.838409,0.429751,0.855235,0.706357,0.771813,0.358397,0.310345,0.819953,0.136217,0.464789
118,0.242032,0.854918,0.785156,0.555961,0.868105,0.706357,0.636934,0.111987,0.172414,0.694466,0.129116,0.464789
119,0.267928,0.870494,0.800126,0.605194,1.000000,0.706357,0.636934,0.119082,0.103448,0.698363,0.120508,0.455634
120,0.299303,0.856698,0.809428,0.360405,0.916501,0.706357,0.634901,0.122435,0.344828,0.706157,0.105444,0.438028
121,0.307769,0.866044,0.842490,0.532884,0.947042,0.706357,0.710778,0.257015,0.241379,0.775526,0.086077,0.421056
122,0.307271,0.859368,0.873470,0.535332,0.907740,0.706357,0.810555,0.540610,0.344828,0.782541,0.069938,0.408099
123,0.287351,0.827770,0.875849,0.532469,0.969367,0.706357,0.838847,0.582990,0.344828,0.874513,0.055950,0.404085
124,0.281873,0.789942,0.870562,0.537966,0.919068,0.706357,0.838207,0.606778,0.344828,0.837101,0.051001,0.413592
125,0.266932,0.790832,0.870909,0.557421,0.903843,0.706357,0.882281,0.780328,0.344828,0.796571,0.082204,0.430634
126,0.264940,0.790832,0.877352,0.536105,0.928161,0.706357,0.924378,0.916290,0.689655,0.872954,0.122660,0.452817
127,0.246514,0.782822,0.872908,0.532497,0.886291,0.706357,0.924506,0.901641,0.689655,0.879969,0.153432,0.477324
128,0.233566,0.815309,0.868645,0.498082,0.910036,0.706357,0.925359,0.877824,0.689655,0.883087,0.215623,0.501408
129,0.203685,0.826880,0.864217,0.510551,0.865023,0.706357,0.926212,0.852713,0.551724,0.883087,0.253282,0.530070
130,0.184761,0.822430,0.860334,0.552869,0.868618,0.706357,0.924791,0.851058,0.689655,0.877631,0.279750,0.550845
131,0.171813,0.808189,0.857360,0.507401,0.857864,0.701985,0.926141,0.835876,0.689655,0.898675,0.299763,0.573944
132,0.157371,0.829551,0.849958,0.517337,0.864389,0.694585,0.888394,0.681940,0.655172,0.922837,0.322143,0.589930
133,0.158367,0.874499,0.820994,0.526900,0.894236,0.691221,0.790907,0.373435,0.206897,0.840998,0.322789,0.602676
134,0.176295,0.856698,0.825356,0.555661,0.846082,0.706357,0.792286,0.381062,0.206897,0.817615,0.319991,0.604718
135,0.186255,0.830886,0.828925,0.697904,0.887711,0.706357,0.791362,0.425889,0.206897,0.823071,0.286852,0.595282
136,0.202191,0.700045,0.834807,0.711218,0.927708,0.706357,0.791817,0.410663,0.344828,0.835542,0.255003,0.585704
137,0.229084,0.660436,0.847760,0.684733,0.815540,0.706357,0.792428,0.418477,0.241379,0.835542,0.233914,0.577817
138,0.274402,0.718291,0.877617,0.449994,0.859404,0.706357,0.868917,0.730220,0.275862,0.800468,0.215193,0.567394
139,0.260458,0.797953,0.889761,0.464310,0.868830,0.706357,0.924364,0.880846,0.379310,0.897116,0.197332,0.563380
140,0.244024,0.847797,0.883350,0.515390,0.863090,0.706357,0.924080,0.839114,0.551724,0.901013,0.208091,0.572183
141,0.228586,0.856698,0.877980,0.522433,0.866896,0.706357,0.924791,0.825802,0.482759,0.898675,0.255649,0.586056
142,0.215139,0.875389,0.873784,0.497151,0.822156,0.706357,0.926070,0.808102,0.586207,0.899454,0.293092,0.604085
143,0.199203,0.893636,0.870066,0.561244,0.790798,0.706357,0.922658,0.844510,0.551724,0.873733,0.324941,0.619577
144,0.200199,0.897196,0.867356,0.481747,0.793608,0.706357,0.925075,0.835948,0.586207,0.904131,0.348612,0.630775
145,0.164841,0.901202,0.863523,0.495176,0.833182,0.706357,0.925999,0.777306,0.689655,0.916602,0.369701,0.643310
146,0.149402,0.874944,0.860400,0.498797,0.865990,0.706357,0.925217,0.761117,0.448276,0.893219,0.387347,0.654789
147,0.143924,0.879395,0.858632,0.553828,0.851701,0.706357,0.921848,0.786228,0.482759,0.888542,0.406068,0.661972
148,0.132470,0.876725,0.857195,0.497094,0.840463,0.706357,0.927236,0.768945,0.689655,0.912705,0.401765,0.667465
149,0.109562,0.890966,0.855014,0.504180,0.816295,0.706357,0.925985,0.734753,0.586207,0.886204,0.418334,0.674014
150,0.113048,0.876279,0.854287,0.533170,0.749804,0.706357,0.923938,0.725788,0.689655,0.876851,0.422423,0.678380
151,0.108566,0.866934,0.854138,0.512025,0.704791,0.706357,0.924648,0.729170,0.551724,0.873733,0.408866,0.683099
152,0.102590,0.877615,0.853841,0.542476,0.727539,0.693912,0.924634,0.732408,0.482759,0.883087,0.408866,0.683099
153,0.088147,0.886515,0.853031,0.526055,0.680231,0.685166,0.926070,0.723485,0.620690,0.877631,0.408866,0.683099
154,0.101594,0.883400,0.853279,0.518210,0.699837,0.692903,0.925558,0.713973,0.586207,0.868277,0.408866,0.685352
155,0.107072,0.898086,0.853130,0.523936,0.724156,0.686848,0.925317,0.720176,0.344828,0.872175,0.408866,0.690141
156,0.119024,0.886515,0.852635,0.525611,0.677421,0.689539,0.925928,0.732983,0.620690,0.879969,0.415752,0.690141
157,0.112550,0.881620,0.851643,0.525754,0.702495,0.690212,0.925999,0.727443,0.620690,0.877631,0.430385,0.690141
158,0.101594,0.891856,0.851164,0.531509,0.728929,0.689539,0.925075,0.725284,0.482759,0.881528,0.430385,0.693451
159,0.091633,0.896306,0.851230,0.530479,0.693372,0.691221,0.925217,0.725572,0.517241,0.876851,0.430385,0.697183
160,0.085657,0.889186,0.851627,0.510651,0.691288,0.688866,0.926355,0.720104,0.620690,0.869836,0.440069,0.697183
161,0.096614,0.892301,0.852155,0.520314,0.717087,0.687857,0.924961,0.718305,0.482759,0.876072,0.451904,0.699296
162,0.098108,0.907877,0.852668,0.517795,0.666606,0.706357,0.923938,0.715643,0.482759,0.873733,0.451904,0.704225
163,0.090637,0.921673,0.852849,0.514874,0.662226,0.690885,0.926866,0.723917,0.448276,0.877631,0.451904,0.704225
164,0.102590,0.908767,0.853328,0.521259,0.627757,0.690548,0.925175,0.719888,0.448276,0.875292,0.451904,0.704225
165,0.100100,0.910547,0.853015,0.520615,0.641140,0.705684,0.925971,0.718449,0.689655,0.876072,0.469120,0.704437
166,0.097112,0.894971,0.852668,0.522462,0.616851,0.690548,0.925615,0.716002,0.689655,0.871395,0.473424,0.711268
167,0.087151,0.891856,0.852073,0.371500,0.542807,0.706357,0.926795,0.664599,0.344828,0.870616,0.473424,0.711268
168,0.080677,0.783267,0.855526,0.501389,0.517552,0.702994,0.924506,0.660095,0.344828,0.831645,0.473424,0.711268
169,0.070717,0.791722,0.861325,0.552439,0.608332,0.672721,0.924990,0.691725,0.620690,0.854248,0.473424,0.711268
170,0.085159,0.855363,0.863705,0.540901,0.613830,0.672721,0.924364,0.704922,0.482759,0.866719,0.473424,0.711268
171,0.102092,0.873609,0.863523,0.512369,0.536856,0.672721,0.924791,0.721039,0.344828,0.869836,0.473424,0.711268
172,0.097112,0.875834,0.862829,0.521231,0.501631,0.695257,0.926355,0.723917,0.344828,0.875292,0.473424,0.711268
173,0.110558,0.889186,0.862680,0.521431,0.528669,0.712412,0.923938,0.729026,0.344828,0.875292,0.480525,0.714225
174,0.112550,0.878060,0.861375,0.522820,0.542565,0.739993,0.925217,0.737228,0.344828,0.877631,0.494943,0.718310
175,0.120518,0.879840,0.860400,0.503422,0.491541,0.739993,0.926355,0.740250,0.344828,0.886204,0.494943,0.718310
176,0.124004,0.894526,0.859211,0.528560,0.514078,0.739993,0.926355,0.750396,0.344828,0.890101,0.507209,0.724507
177,0.120518,0.902982,0.857872,0.523092,0.463809,0.739993,0.926070,0.742625,0.344828,0.895557,0.516462,0.725704
178,0.123008,0.908322,0.856749,0.516335,0.477131,0.739993,0.926070,0.745431,0.620690,0.894778,0.516462,0.732394
179,0.129482,0.927904,0.855840,0.515705,0.452118,0.749411,0.925502,0.746438,0.344828,0.894778,0.534108,0.732535
180,0.126992,0.931464,0.854799,0.523235,0.438584,0.773629,0.925644,0.751259,0.379310,0.898675,0.537981,0.739437
181,0.133466,0.935915,0.854320,0.539240,0.447647,0.763539,0.925075,0.752986,0.655172,0.897116,0.550893,0.741690
182,0.127490,0.957276,0.853692,0.539670,0.402211,0.739993,0.924933,0.753706,0.344828,0.899454,0.559501,0.746479
183,0.119024,0.953271,0.852932,0.549419,0.399432,0.739993,0.924620,0.751331,0.344828,0.891660,0.559501,0.746479
184,0.113546,0.936805,0.851974,0.528202,0.409190,0.727548,0.926212,0.752770,0.586207,0.907249,0.559501,0.752465
185,0.111554,0.938140,0.851230,0.507545,0.442360,0.706357,0.924222,0.755217,0.586207,0.893998,0.559501,0.753521
186,0.105578,0.944815,0.851412,0.519742,0.452692,0.676085,0.926639,0.744999,0.482759,0.895557,0.559501,0.753521
187,0.109064,0.947486,0.851379,0.520372,0.472690,0.672721,0.924748,0.740035,0.344828,0.888542,0.559501,0.759718
188,0.111554,0.949711,0.851693,0.515905,0.485953,0.672721,0.924464,0.742553,0.413793,0.892440,0.559501,0.760563
189,0.115040,0.958611,0.851775,0.531452,0.496194,0.672721,0.925928,0.747590,0.551724,0.894778,0.559501,0.760563
190,0.111554,0.954161,0.851428,0.510608,0.477584,0.688530,0.925359,0.749316,0.517241,0.895557,0.559501,0.765493
191,0.116036,0.951491,0.851230,0.550492,0.444505,0.689539,0.924648,0.742121,0.448276,0.891660,0.559501,0.767606
192,0.112550,0.956831,0.851048,0.516592,0.424506,0.706357,0.924080,0.743200,0.344828,0.889322,0.576071,0.767606
193,0.109562,0.953271,0.850966,0.513042,0.390067,0.706357,0.924364,0.742625,0.482759,0.887763,0.572412,0.769014
